,vintage_name,vintage_wine_name,vintage_wine_vintage_type,vintage_wine_is_natural,vintage_wine_region_name,vintage_wine_winery_name,vintage_wine_taste_structure_acidity,vintage_wine_taste_structure_intensity,vintage_wine_taste_structure_sweetness,vintage_wine_taste_structure_tannin,vintage_wine_statistics_ratings_count,vintage_wine_statistics_ratings_average,vintage_year,price_amount,price_type
9212,Château Talbot Connétable Talbot Saint-Julien 2013,Connétable Talbot Saint-Julien,0,False,Saint-Julien,Château Talbot,4.1766124,3.8887017,1.5751011,3.8829274,12005,3.9,2013,35.9,ppc
9213,Château Carbonnieux Pessac-Léognan 2008,Pessac-Léognan,0,False,Pessac-Léognan,Château Carbonnieux,4.211191,4.2541857,1.5396229,4.423563,14805,4.0,2008,33.6,ppc
9214,Château Meyney Saint-Estèphe 2011,Saint-Estèphe,0,False,Saint-Estèphe,Château Meyney,4.152759,4.2563553,1.5397822,4.2497706,12571,4.0,2011,33.0,ppc
9215,Famille Perrin Châteauneuf-du-Pape Les Sinards Rouge 2010,Châteauneuf-du-Pape Les Sinards Rouge,0,False,Châteauneuf-du-Pape,Famille Perrin,3.0632052,4.646038,1.6092972,2.8008912,14570,4.1,2010,33.0,ppc
9216,Domaine Gros Frère et Soeur Bourgogne Hautes Côtes de Nuits Rouge 2018,Bourgogne Hautes Côtes de Nuits Rouge,0,False,Bourgogne Hautes Côtes de Nuits,Domaine Gros Frère et Soeur,3.8342931,2.666593,1.5882347,2.222442,2932,3.8,2018,32.0,ppc
9217,Château Mazeyres Pomerol 2012,Pomerol,0,False,Pomerol,Château Mazeyres,3.3085775,4.030306,1.533414,3.3614678,5367,4.0,2012,33.95,ppc
9218,Château Pibran Pauillac 2014,Pauillac,0,False,Pauillac,Château Pibran,4.2590833,4.2916236,1.5389521,4.2569437,5643,4.0,2014,32.0,ppc
9219,Château Pindefleurs Saint-Émilion Grand Cru 2014,Saint-Émilion Grand Cru,0,False,Saint-Émilion Grand Cru,Château Pindefleurs,3.2794244,4.297549,1.5409197,3.5717766,4481,4.0,2014,32.55,ppc
9220,Château La Confession Saint-Émilion Grand Cru 2012,Saint-Émilion Grand Cru,0,False,Saint-Émilion Grand Cru,Château La Confession,3.3308437,4.2921576,1.7142098,3.5462625,3038,4.0,2012,32.9,ppc
9221,Château Le Boscq Saint-Estèphe 2016,Saint-Estèphe,0,False,Saint-Estèphe,Château Le Boscq,4.2273674,4.2868943,1.4968767,4.3490877,5073,3.9,2016,32.0,ppc
9222,Clos du Mont-Olivet Châteauneuf-du-Pape 2017,Châteauneuf-du-Pape,0,False,Châteauneuf-du-Pape,Clos du Mont-Olivet,3.106557,4.612185,1.654962,3.0058846,6612,4.0,2017,34.0,ppc
9223,Château Gazin Rocquencourt Pessac-Léognan 2014,Pessac-Léognan,0,False,Pessac-Léognan,Château Gazin Rocquencourt,4.218042,4.2727275,1.5014703,4.2821765,2567,3.9,2014,32.0,ppc
9224,Domaine Yves Gangloff La Sereine Noire Côte-Rôtie 2015,La Sereine Noire Côte-Rôtie,0,False,Côte-Rôtie,Domaine Yves Gangloff,3.9137242,4.13126,1.5713652,4.1862597,1024,4.5,2015,390.0,ppc
9225,Château Lagrange Saint-Julien (Grand Cru Classé) 2020,Saint-Julien (Grand Cru Classé),0,False,Saint-Julien,Château Lagrange,4.2456384,3.7878497,1.5815498,3.9106274,29483,4.1,2020,41.2,ppc
9226,Domaine Parigot Pommard 'Les Vignots' 2017,Pommard 'Les Vignots',0,False,Pommard,Domaine Parigot,4.026835,2.8574228,1.2842017,2.3043137,204,4.1,2017,41.0,ppc
9227,Château Prieuré-Lichine Margaux (Grand Cru Classé) 2012,Margaux (Grand Cru Classé),0,False,Margaux,Château Prieuré-Lichine,4.1556706,3.7733238,1.5753323,3.7999556,18605,4.2,2012,41.9,ppc
9228,E. Guigal Côte-Rôtie Brune & Blonde de Guigal 2011,Côte-Rôtie Brune & Blonde de Guigal,0,False,Côte-Rôtie,E. Guigal,3.882286,4.2249002,1.5095842,3.9646435,19722,4.2,2011,42.0,ppc
9229,Château Kirwan Charmes de Kirwan Margaux 2015,Charmes de Kirwan Margaux,0,False,Margaux,Château Kirwan,4.202513,3.8005908,1.5012656,3.801387,5762,4.0,2015,39.0,ppc
9230,Château La Nerthe Châteauneuf-du-Pape 2009,Châteauneuf-du-Pape,0,False,Châteauneuf-du-Pape,Château La Nerthe,3.1048844,4.645623,1.6089176,2.8014066,19733,4.2,2009,41.95,ppc
9231,Château Lynch-Moussas Pauillac (Grand Cru Classé) 2012,Pauillac (Grand Cru Classé),0,False,Pauillac,Château Lynch-Moussas,4.1770544,4.225379,1.5099422,4.144017,15767,4.1,2012,38.4,ppc
9232,Château Haut-Marbuzet Saint-Estèphe 2007,Saint-Estèphe,0,False,Saint-Estèphe,Château Haut-Marbuzet,4.1939235,4.2526603,1.6418306,4.2026587,20642,4.2,2007,42.0,ppc
9233,Château de Fieuzal Pessac-Léognan (Grand Cru Classé de Graves) 2011,Pessac-Léognan (Grand Cru Classé de Graves),0,False,Pessac-Léognan,Château de Fieuzal,4.1789804,4.223382,1.6688212,4.278415,13561,4.1,2011,39.0,ppc
